cusip,comp_conm,tic,factiva_tag,factiva_name,sim
40637H10,HALOZYME THERAPEUTICS INC,HALO,glyasr,Halozyme Therapeutics Inc,1
40642Y10,HALTER MARINE GROUP INC,HLX.1,halmar,"HALTER MARINE GROUP INC, trin",0.91304347826087
40701310,HAMILTON BANCORP INC/FL,HABK,hmltbz,"Hamilton Bancorp Inc, seexc",0.883720930232558
40701510,HAMILTON BANCORP INC/MD,HBK,hmltbz,"Hamilton Bancorp Inc, seexc",0.883720930232558
40736710,HAMILTON FINANCIAL SERVICES,HFSC,hamfin,Hamilton Financial Services Corp,0.925925925925926
40749710,HAMILTON LANE INC,HLNE,hlanai,Hamilton Lane Advisors Inc.,0.8
40784810,HAMILTON OIL CORP,HAML,hab,"Hamilton Oil Corp, habx",0.882352941176471
40835910,HAMMOND CO,3THCO,,,
40867E10,HAMPDEN BANCORP INC,HBNK,,,
40885910,HAMPSHIRE GROUP LTD,HAMPQ,hmpsgl,"Hampshire Group Ltd, hmpsglx",0.829268292682927
40918910,HAMPTON INDUSTRIES,3HPTI,hai,Hampton Industries Inc,0.894736842105263
40990010,HANCOCK FABRICS INC,HKFIQ,hanfb,Hancock Fabrics Inc,1
41012010,HANCOCK WHITNEY CORP,HWC,hanco,Hancock Holding Co,0.705882352941176
41025210,HANDLEMAN CO,HDLM,handco,Handleman Co.,1
41029310,HANDSPRING INC,HAND,handsp,Handspring Inc,1
41030610,HANDY & HARMAN,HNH.1,haha,"Handy & Harman, hahax",0.814814814814815
41031510,HANDY & HARMAN LTD,HNH,wps,Handy & Harman Ltd.,1
41034510,HANESBRANDS INC,HBI,,,
41043F20,HANGER INC,HNGR,,,
41049520,HANMI FINANCIAL CORP,HAFC,hanmba,Hanmi Financial Corp,1
41055010,HANNAFORD BROTHERS CO,HRD.1,hrd,"Hannaford Brothers Co, hrdx",0.904761904761905
41078330,HANOVER DIRECT INC,HNVD,horhar,Hanover Direct Inc,1
41086710,HANOVER INSURANCE GROUP INC,THG,allmfg,The Hanover Insurance Group Inc,0.943396226415094
41130720,HANSEN MEDICAL INC,HNSN,hmdcl,"Hansen Medical, Inc.",1
41138110,HAPPINESS EXPRESS INC,HAPY,hapexp,Happiness Express Inc,1
41145C10,HARBINGER CORP,HRBC,harbco,"Harbinger Corp, supptc",0.8125
41145W10,HARBIN ELECTRIC INC,HRBN,trexsv,Harbin Electric Inc.,1
