cusip,st_date,en_date,num_art
02313510,2017-07-24,2017-07-24,119
02313510,2017-07-27,2017-07-27,177
02313510,2017-07-28,2017-07-28,192
02313510,2017-08-15,2017-08-15,109
02313510,2017-08-16,2017-08-16,109
02313510,2017-08-23,2017-08-23,175
02313510,2017-08-24,2017-08-24,153
02313510,2017-08-25,2017-08-25,130
02313510,2017-08-28,2017-08-28,148
02313510,2017-08-29,2017-08-29,122
02313510,2017-08-30,2017-08-30,115
02313510,2017-09-06,2017-09-06,103
02313510,2017-09-07,2017-09-07,248
02313510,2017-09-08,2017-09-08,178
02313510,2017-09-14,2017-09-14,135
02313510,2017-09-15,2017-09-15,102
02313510,2017-09-18,2017-09-18,131
02313510,2017-09-19,2017-09-19,141
02313510,2017-09-20,2017-09-20,110
02313510,2017-09-21,2017-09-21,131
02313510,2017-09-27,2017-09-27,146
02313510,2017-09-28,2017-09-28,136
02313510,2017-09-29,2017-09-29,121
02313510,2017-10-03,2017-10-03,126
02313510,2017-10-04,2017-10-04,126
02313510,2017-10-05,2017-10-05,133
02313510,2017-10-10,2017-10-10,115
02313510,2017-10-11,2017-10-11,207
02313510,2017-10-12,2017-10-12,175
02313510,2017-10-13,2017-10-13,164
02313510,2017-10-17,2017-10-17,126
02313510,2017-10-18,2017-10-18,149
02313510,2017-10-19,2017-10-19,204
02313510,2017-10-20,2017-10-20,191
02313510,2017-10-23,2017-10-23,124
02313510,2017-10-24,2017-10-24,195
02313510,2017-10-25,2017-10-25,141
02313510,2017-10-26,2017-10-26,177
02313510,2017-10-27,2017-10-27,199
02313510,2017-10-30,2017-10-30,123
02313510,2017-11-01,2017-11-01,145
02313510,2017-11-06,2017-11-06,101
02313510,2017-11-09,2017-11-09,111
02313510,2017-11-15,2017-11-15,122
02313510,2017-11-16,2017-11-16,101
02313510,2017-11-27,2017-11-27,113
02313510,2017-11-28,2017-11-28,134
02313510,2017-11-29,2017-11-29,155
02313510,2017-11-30,2017-11-30,135
02313510,2017-12-06,2017-12-06,119
02313510,2017-12-07,2017-12-07,102
02313510,2017-12-14,2017-12-14,107
02313510,2018-01-18,2018-01-18,346
02313510,2018-01-19,2018-01-19,253
02313510,2018-01-22,2018-01-22,139
02313510,2018-01-23,2018-01-23,130
02313510,2018-01-26,2018-01-26,112
02313510,2018-01-30,2018-01-30,222
02313510,2018-01-31,2018-01-31,144
02313510,2018-02-01,2018-02-01,171
02313510,2018-02-02,2018-02-02,196
02313510,2018-02-08,2018-02-08,141
02313510,2018-02-09,2018-02-09,122
02313510,2018-02-13,2018-02-13,111
02313510,2018-02-21,2018-02-21,106
02313510,2018-03-06,2018-03-06,128
02313510,2018-03-07,2018-03-07,138
02313510,2018-03-15,2018-03-15,146
02313510,2018-03-28,2018-03-28,105
02313510,2018-03-29,2018-03-29,170
02313510,2018-04-02,2018-04-02,127
02313510,2018-04-03,2018-04-03,162
02313510,2018-04-04,2018-04-04,140
02313510,2018-04-05,2018-04-05,127
02313510,2018-04-06,2018-04-06,108
02313510,2018-04-18,2018-04-18,137
02313510,2018-04-19,2018-04-19,128
02313510,2018-04-24,2018-04-24,156
02313510,2018-04-25,2018-04-25,124
02313510,2018-04-26,2018-04-26,120
02313510,2018-04-27,2018-04-27,137
02313510,2018-05-01,2018-05-01,125
02313510,2018-05-03,2018-05-03,109
02313510,2018-05-09,2018-05-09,101
02313510,2018-05-15,2018-05-15,121
02313510,2018-05-16,2018-05-16,119
02313510,2018-05-17,2018-05-17,104
02313510,2018-06-12,2018-06-12,102
02313510,2018-06-20,2018-06-20,135
02313510,2018-06-21,2018-06-21,103
02313510,2018-06-28,2018-06-28,197
02313510,2018-06-29,2018-06-29,120
02313510,2018-07-16,2018-07-16,132
02313510,2018-07-17,2018-07-17,144
02313510,2018-07-18,2018-07-18,125
