cusip,sim,comp_st_years,comp_en_years,comp_conm,factiva_comp,factiva_tag,manual_tag
55990610,0.894736842,1984,2001,MAIN STREET BANCORP,Main Street Bancorp Inc,bcbfin,bcbfin
56009010,0.92,1993,1998,MAHONING NATIONAL BANCORP,MAHONING NATIONAL BANCORP INC,mahbn,mahbn
56034530,0.925925926,1990,2005,MAIN STREET RESTAURANT GROUP,Main Street Restaurant Group Inc.,mainm,mainm
56239810,0.703703704,1996,2004,MANCHESTER TECHNOLOGIES INC,Electrograph Technologies Corp.,maneq,
56357140,0.846153846,1972,2018,MANITOWOC CO,Manitowoc Company Inc,mant,mant
56791210,0.716981132,1983,1999,MARINE TRANSPORT CORP,Yang Ming Marine Transport Corporation,yngmng,
56824020,0.975609756,1989,2000,MARINE DRILLING CO INC,Marine Drilling Companies Inc,mardr,mardr
57174810,0.888888889,1962,2018,MARSH & MCLENNAN COS,Marsh & McLennan Companies Inc,mm,mm
57290010,0.837209302,1957,1993,MARTIN MARIETTA CORP,Martin Marietta Corporation,marmrt,marmrt
57318310,0.866666667,1988,1997,MARTIN COLOR-FI INC,Martin Color Fi,mrtcol,mrtcol
57391310,0.923076923,1988,1997,MARVEL ENTERTAINMENT GROUP,MARVEL ENTERTAINMENT GROUP INC,mrvent,mrvent
57712810,0.820512821,1990,2018,MATTHEWS INTL CORP,Matthews International Corporation,matthi,matthi
57714010,0.923076923,1988,1999,MATTHEWS STUDIO EQUIP GROUP,Matthews Studio Equipment Group,matseq,matseq
57790310,0.904761905,1983,2007,MAX & ERMAS RESTAURANTS,Max & Erma's Restaurants Inc,maxer,maxer
57979310,0.761904762,2000,2010,MCCORMICK & SCHMICKS SEAFOOD,McCormick & Schmick's Seafood Restaurants Inc,mcrssr,mcrssr
58016910,0.85106383,1950,1996,MCDONNELL DOUGLAS CORP,MCDONNELL DOUGLAS CORPORATION,mdc,mdc
58043210,0.882352941,1976,1996,MCFARLAND ENERGY INC,McFarland Energy,mcflnd,mcflnd
58155Q10,0.774193548,1961,2018,MCKESSON CORP,McKesson Corporation,formk,formk
58352110,0.9,1992,2001,MECHANICAL DYNAMICS,Mechanical Dynamics Inc,mchdyn,mchdyn
58450C10,0.9,1982,1993,MEDICAL CARE AMERICA,MEDICAL CARE AMERICA INC,medt,medt
58461A10,0.933333333,1992,1994,MEDICAL MANAGEMENT INC,FPA Medical Management Inc,fpamed,
58513U10,0.695652174,1997,2018,MEET GROUP INC (THE),MeetMe Inc,qpacom,
58515G10,0.787878788,1985,1994,MEGAHERTZ HOLDING CORP,MEGAHERTZ CORP,mhzcp,mhzcp
58605Q10,0.851851852,2012,2015,MEMORIAL RESOURCE DEV CORP,Memorial Resource Development Corp.,mmrrdc,mmrrdc
58681710,0.909090909,1990,1998,MENLEY & JAMES INC,Menley and James Inc,mnlyjm,mnlyjm
58734210,0.844444444,1963,1998,MERCANTILE BANCORPORATION,Mercantile Bancorp Inc,mercbc,mercbc
58843810,0.888888889,1993,1998,MERCHANTS BANCORP INC/DE,Merchants Bancorp,uedtkg,uedtkg
58933Y10,0.777777778,1950,2018,MERCK & CO,Merck & Co. Inc.,schplo,schplo
58937810,0.818181818,1996,2018,MERCURY SYSTEMS INC,Mercury Computer Systems Inc,mrcry,
58943310,0.774193548,1950,2018,MEREDITH CORP,Meredith Corporation,merdco,merdco
58958U10,0.791666667,2005,2018,MERIDIAN BANCORP INC (MD),"Meridian Interstate Bancorp, Inc.",mdnitb,
58965810,0.851851852,1970,2002,MERIDIAN MEDICAL TECH INC,Meridian Medical Technologies Inc,surv,surv
58977Q10,0.975609756,1985,2009,MERIDIAN RESOURCE CORP,The Meridian Resources Corp,texmer,texmer
59017510,0.75862069,1985,1998,MERRILL CORPORATION,Merrill Corp,mellco,mellco
59021H10,0.928571429,1998,2006,MERRILL MERCHANTS BANCSHARES,"Merrill Merchants Bancshares, Inc",mrlmer,mrlmer
59140910,0.96,1995,2001,METAWAVE COMMUNICATIONS CP,Metawave Communications Corp,metwav,metwav
59142110,0.8,1984,1990,METCALF & EDDY COS INC,METCALF AND EDDY COMPANIES (MA),metaed,metaed
59159110,0.882352941,1992,1998,METRA BIOSYSTEMS INC,METRA BIOSYSTEMS,metrab,metrab
59164510,0.9,1982,1994,METROBANK,Metrobank N.A,metnk,metnk
59189N10,0.888888889,1994,2002,METROPOLITAN FINL CORP/OH,Metropolitan Financial Corp,metfna,metfna
59190810,0.888888889,1985,1993,METROPOLITAN FINL CORP/DE,Metropolitan Financial Corp,metfna,metfna
59491810,0.787878788,1985,2018,MICROSOFT CORP,Microsoft Corporation,mcrost,mcrost
59518V10,0.862745098,2000,2009,MICRUS ENDOVASCULAR CORP,Micrus Endovascular Corporation,micrco,micrco
59523C10,0.862745098,1988,2002,MID ATLANTIC MEDICAL SVCS,Mid-Atlantic Medical Services LLC,midatl,midatl
59526210,0.882352941,1989,1999,MID-COAST BANCORP INC,Mid Coast Bancorp,midbc,midbc
59540C10,0.926829268,1988,1993,MID MAINE SAVINGS BANK FSB,Mid Maine Savings Bank,midmsb,midmsb
59563W10,0.875,1995,2000,MIDCOAST ENERGY RES INC,MIDCOAST ENERGY RESOURCES INC,midene,midene
59741310,0.625,1992,1999,MIDISOFT CORP,Microsoft Corporation,mcrost,
59870L10,,,,MILACRON HOLDINGS CORP,Milacron LLC,cnciuk,cnciuk
60040410,0.913043478,1985,2000,MILLER BUILDING SYSTEMS INC,MILLER BUILDING SYSTEMS,milbs,milbs
60219110,0.814814815,1984,2002,MILTOPE GROUP INC,Miltope Corp,mltpe,mltpe
60229910,0.92,1986,1994,MILWAUKEE INSURANCE GROUP,MILWAUKEE INSURANCE GROUP INC,milin,milin
60431210,0.615384615,1982,1999,MINOLTA-QMS INC,Konica Minolta Holdings Inc,knshrk,
60456510,0.714285714,1984,1991,MIPS COMPUTER SYSTEMS INC,Sun Microsystems Inc,sunmic,
60469010,0.981132075,1994,2004,MIRAVANT MEDICAL TECHNOLGIES,Miravant Medical Technologies,pdtinc,pdtinc
60510910,0.85106383,1988,2004,MISSION RESOURCES CORP,Mission Resources Corporation,belw,belw
60572010,0.892857143,1992,2001,MISSISSIPPI VALLEY BANCSHRS,Mississippi Valley Bancshares Inc,misval,misval
60646010,0.8,1984,1993,MR COFFEE INC,"MR COFFEE (BEDFORD HEIGHTS,OH)",miscof,miscof
60659220,0.84,1971,2000,MITCHELL ENERGY & DEV CORP,Mitchell Energy & Development Corp,mitend,mitend
60689B10,0.466666667,2005,2011,MMODAL INC,MedQuist Holdings Inc.,cbabvi,
60692510,0.875,1996,2006,MOBIUS MGMT SYSTEMS INC,Mobius Management Systems Inc,mbsman,mbsman
60851410,0.894736842,1988,1997,MOLECULAR DYNAMICS INC,Molecular Dynamics,moldyn,moldyn
61583610,0.928571429,1960,1998,MOORE PRODUCTS CO,MOORE PRODUCTS,moop,moop
61741010,0.941176471,1982,2000,MORGAN KEEGAN INC,"Morgan Keegan & Company, Inc.",mork,mork
61743910,0.903225806,1985,1998,MORGAN PRODUCTS LTD,MORGAN PRODUCTS,morgp,morgp
61910V10,0.965517241,1995,1999,MORTGAGE.COM INC,Mortage.com Inc,fmnet,fmnet
61974410,0.857142857,1986,1989,MOTEL 6  -LP,Motel 6,mosixi,mosixi
62007110,0.93877551,1992,2018,MOTORCAR PARTS OF AMER INC,Motorcar Parts of America Inc,mopart,mopart
62422010,0.923076923,1980,1992,MOUNTAIN MEDICAL EQUIPMENT,MOUNTAIN MEDICAL EQUIPMENT INC,mtmed,mtmed
62459810,0.896551724,1991,1998,MOVIEFONE INC,AOL MovieFone Inc,movfon,
62758B10,0.756756757,1986,1999,MUSICLAND STORES CORP,Musicland Group Inc,mland,mland
62872P10,0.833333333,1987,1993,NBB BANCORP INC,NBB Bancorp,nbifs,nbifs
62910N10,0.727272727,1992,1999,NFO WORLDWIDE INC,NFO WorldGroup Inc,nfor,nfor
62943B10,0.625,1999,2013,NTS INC,"XFONE, Inc.",xfonei,
62949110,,,,NYSE EURONEXT,NYSE Euronext Inc.,nyse,nyse
62952P10,0.909090909,1950,1999,NABISCO GROUP HOLDINGS CORP,NABISCO GROUP HOLDINGS,rynlds,rynlds
63016Q10,0.56,2013,2018,NANTKWEST INC,NantWorks LLC,nantwo,nantwo
63110310,0.714285714,1999,2018,NASDAQ INC,The NASDAQ OMX Group Inc.,nasdaq,
63253Y10,0.923076923,2000,2007,NATIONAL ATLANTIC HOLDINGS,National Atlantic Holdings Corp,natlhc,natlhc
63486510,0.814814815,1999,2018,NATIONAL BANKSHARES INC VA,American National Bankshares Inc,amnabk,
63545P10,0.819672131,1982,2003,NATIONAL COMMERCE FINANCIAL,National Commerce Financial Corporation,ncbc,ncbc
63619510,0.914285714,1973,1997,NATIONAL GAS & OIL CO,NATIONAL GAS AND OIL CO,nlg,nlg
63691830,0.813559322,1997,2007,NATIONAL MED HEALTH CARD SYS,National Medical Health Card System Inc,nmedhc,nmedhc
63721510,0.88,1960,2018,NATIONAL PRESTO INDS INC,National Presto Industries Inc,npk,npk
63754610,0.888888889,1982,2018,NATIONAL SEC GROUP INC,National Security Group Inc,nsic,nsic
63765720,0.884615385,1960,2002,NATIONAL SERVICE INDS INC,National Service Industries Inc,nas,nas
63810410,0.923076923,1975,2012,NATIONAL TECHNICAL SYS INC,National Technical Systems Inc,ntsc,ntsc
